Models,R²
kNN,0.9851885624957812
Linear Regression,0.6158339664109899
Neural Networks,0.9801396009957187
Decision Trees,0.9583390086977156
SVR,0.6125552189668712
Random Forest,0.9780923453664646
Gradient Boosting,0.9739084942272946
GPR,0.9880901186615526
BLR,0.6158667888026372
Lasso Regression,0.6147218726279667
Ridge Regression,0.6158678778179105
KRR,0.9737546320765171
