Models,MSE
kNN,0.002682625620628023
Linear Regression,0.08522689509420203
Neural Networks,0.003031311181874691
Decision Trees,0.008906874614875777
SVR,0.08426517182152989
Random Forest,0.0049843458352844235
Gradient Boosting,0.005636965160300658
GPR,0.002285659889410516
BLR,0.08521234867969703
Lasso Regression,0.08558028383496932
Ridge Regression,0.08521205416131175
KRR,0.005894529603123281
