Models,MAE
kNN,0.007311007184290613
Linear Regression,0.16166534776667768
Neural Networks,0.023422335384168276
Decision Trees,0.017578959202435206
SVR,0.1627625088593064
Random Forest,0.01619426020792681
Gradient Boosting,0.022444808608112623
GPR,0.009474344754432729
BLR,0.16168290626328347
Lasso Regression,0.16196197839558954
Ridge Regression,0.16168388246392543
KRR,0.021794821007311085
